,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_bdtiktokofficial,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_unfrezzmyaccount,hash_video,hash_viral
2,US,7080163518175104302,1648479031,#rain #view #foryou #scenery,7077578767263401003,Beautiful Nature,Share the beauty of nature evrey day,0,False,https://www.tiktok.com/@beautifulnatural2/video/7080163518175104302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080163518175104302&source=h5_m,1228449,463,7547,30099,63919,7080163465175993134,7080163465175993134,72,7080163465175993134,original sound - beautifulnatural2,Beautiful Nature,7.077578767263401e+18,Beautiful Nature,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080163503914355502.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3f4c94256b523bfa27c9763dfd6bdd88.json,False,False,,,,,[],0,0,Bangladesh,#rain #view #foryou #scenery,0,1,0,0,0,0,0,0,0,0
3,BD,7096026469335305499,1652172410,#ruhani#flowme #foryou#foryoupage #viral #viralvideos #trending,6915870329051104262,💫__Ruhani__💫,Assalamuwalaikum,0,False,https://www.tiktok.com/@ruhani__islam/video/7096026469335305499?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096026469335305499&source=h5_m,302087,163,117,373,20304,6979271850526378758,6979271850526378758,72,6979271850526378758,original sound - muskaanjha14,muskan_jha,6.826717755627554e+18,muskan_jha,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6979271948345920262.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/93b1559cd463ab8b08e61c622bf0bec2.json,False,False,,,,,[],0,0,Bangladesh,#ruhani#flowme #foryou#foryoupage #viral #viralvideos #trending,0,1,1,0,0,0,1,0,0,1
4,BD,7101862910212721947,1653531313,Trag 🍁🍁🍁 #park_kimin🍁 #viro__niqa🦋 #tiktok #grow #fypシ #viral #music #trend #video #beauty #fyp #foryou #trending #motogirl #foryoupage #ladybiker #bikelover #moto #team_tayzi🍁 #bdtiktokofficial,7083700816057861126,Wajifa Vironiqa 🍁,"Members Of Park Kimin 🍁
R : Muslim 🦋
Queen of your Kingdom 🌸",0,False,https://www.tiktok.com/@viro__niqa/video/7101862910212721947?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101862910212721947&source=h5_m,255627,71,455,39,29818,259910884763029504,259910884763029504,71,259910884763029504,"Traag - Dongo, Chaika & Ogri Ai Remix",Bizzey,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b4e70db62bb44647b48c899a283f00de,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bb2a3ab4cc3a43beb50f2fb84043f3af,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1344622163', 'external_song_key': 'apple_song_id'}]",0,0,Bangladesh,#park_kimin🍁 #viro__niqa🦋 #tiktok #grow #fypシ #viral #music #trend #video #beauty #fyp #foryou #trending #motogirl #foryoupage #ladybiker #bikelover #moto #team_tayzi🍁 #bdtiktokofficial,1,1,1,1,1,1,1,0,1,1
5,BD,7077368449105693979,1647828252,#sheikheleyas1 #foryoupage #unfreezemyaccount #foryou,6989587951525331973,Sheikh Eleyas,"আমি গর্বিতো আমি মুসলিম
I LOVE MY ALLAH💖💖💖",0,False,https://www.tiktok.com/@sheikheleyas1/video/7077368449105693979?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077368449105693979&source=h5_m,2520578,714,1739,9020,147235,7077368439937010458,7077368439937010458,72,7077368439937010458,original sound - sheikheleyas1 (Contains music from: Tobe Le Gnome - Do I Scare Ya?),"Contains music from: ""Tobe Le Gnome""",6.989587951525332e+18,Sheikh Eleyas,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7077368445997796123.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/81d544fa2d46a8ed6f5ac0ff3f75df51.json,False,False,Do I Scare Ya?,Tobe Le Gnome,original sound - sheikheleyas1 (Contains music from: Tobe Le Gnome - Do I Scare Ya?),"Contains music from: ""Tobe Le Gnome""",[],0,0,Bangladesh,#sheikheleyas1 #foryoupage #unfreezemyaccount #foryou,0,1,1,0,0,0,0,0,0,0
6,BD,7089717376396119323,1650703461,Aibar o ki viral hoba ???#teamruzu #ctgmuser #ctgmuser_bd_titok #mysister #mili#sisterweding,6775389659784774662,🔥RUZAN SHAHREAR 🔥,TO KNOW MORE ABOUT MY JOURNEY AND FOR ALL DAILY UPDATEDS  FOLLOW ME ON INSTAGRAM,0,False,https://www.tiktok.com/@ruzan_shahrear/video/7089717376396119323?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089717376396119323&source=h5_m,626894,248,286,46,54629,7089717363695831835,7089717363695831835,24,7089717363695831835,original sound - ruzan_shahrear,🔥RUZAN SHAHREAR 🔥,6.775389659784775e+18,🔥RUZAN SHAHREAR 🔥,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7089717377398573851.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f3d06f2438ed594ab962f09aed4d397e.json,False,False,,,,,[],0,0,Bangladesh,#teamruzu #ctgmuser #ctgmuser_bd_titok #mysister #mili#sisterweding,0,0,0,0,0,0,0,0,0,0
7,CA,7072722918639160582,1646746631,"HAPPY INTERNATIONAL WOMEN’S DAY💜💜💚💚❤️❤️ . Where there is woman, there is Miracle💃💃 #foryou #goviral #fyp #sholieporsh #viral #funnyvideos #women",6799792856959009797,Sholi,"Road to 500k
 No spam likes pls🙏
Follow me ,let  grow your account together",0,False,https://www.tiktok.com/@sholieporsh/video/7072722918639160582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072722918639160582&source=h5_m,19887182,6658,41952,166197,323527,7030477441651067654,7030477441651067654,72,7030477441651067654,original sound - musah.23,musah.23,6.816636336691348e+18,musah.23,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7030477521799908102.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/db882d1f9cdeeab1b4b384dcfb76d472.json,False,False,,,,,[],0,0,Bangladesh,#foryou #goviral #fyp #sholieporsh #viral #funnyvideos #women,0,1,0,1,0,0,0,0,0,1
0,BD,7078643672769678618,1648125163,#islamic_video #share #foryoupage #fyp #viral #video #mirajofficial120 #bdtiktokofficial #view #makkah #❤️❤️,6987402462034396186,Miraj_Chowdhury_🥀😎❤️,"I ❤️ allah 🥀
fb id : miraj Chowdhury 👇
one day insh'allah 1 million Fan ❤️",0,False,https://www.tiktok.com/@mirajofficial120/video/7078643672769678618?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078643672769678618&source=h5_m,508053,9850,14757,1618,255592,7055549245276818202,7055549245276818202,72,7055549245276818202,original sound - mr.lbn.nl,@MR.LBN.NL,7.01294497929611e+18,@MR.LBN.NL,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7055549250200931098.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e34a270571b917541512007f8b6a3d19.json,False,False,,,,,[],0,0,Bangladesh,#islamic_video #share #foryoupage #fyp #viral #video #mirajofficial120 #bdtiktokofficial #view #makkah #❤️❤️,1,0,1,1,0,0,0,0,1,1
1,BD,7085649267301289242,1649756280,#backtochildhood আগের টাই 3 মিলিয়ন ভিউ ছিলো এটাই কতো আসবে🤔🤔@bdtiktokofficial#foryoupage #foryou #viral #duet #rajbariyan,6597576066712502278,Misti...moni,Exclusively managed by glee digital,0,False,https://www.tiktok.com/@misti...moni/video/7085649267301289242?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085649267301289242&source=h5_m,4206948,1016,7037,246,237016,7082343273515256602,7082343273515256602,72,7082343273515256602,original sound - isshadahmed,ISSHAD AHMED,6.538379220870234e+18,ISSHAD AHMED,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7082343294709074714.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/46a8155f68df2ee599a0d1d9078302ef.json,False,False,,,,,[],0,0,Bangladesh,#backtochildhood #foryoupage #foryou #viral #duet #rajbariyan,0,1,1,0,0,0,0,0,0,1
2,CA,7099111502904331526,1652890702,Everything you want is already yours. 💫 #makeup #facepaint #mimles #bodypaint #art #artist #tiktokart #arttok #illusion #illusionart #illusionmakeup #fyp #fy #foryou #foryoupage #trickart #painting #trippy,6772504977799726085,Mimi Choi,"MIMI CHOI 
Professional illusion artist 
IG: @mimles
💌mimichoimakeup@gmail.com",0,False,https://www.tiktok.com/@mimles/video/7099111502904331526?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099111502904331526&source=h5_m,3270897,2521,13720,11754,200874,6778221551708801025,6778221551708801025,10033,6778221551708801025,Darling,Trees and Lucy,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2504c941989545f49399e8debe6d1b29,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9b6f5f2293e44dbb9c327c7ccf00d0fb,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1493676292', 'external_song_key': 'apple_song_id'}]",0,0,Bangladesh,#makeup #facepaint #mimles #bodypaint #art #artist #tiktokart #arttok #illusion #illusionart #illusionmakeup #fyp #fy #foryou #foryoupage #trickart #painting #trippy,0,1,1,1,0,0,0,0,0,0
3,BD,7085332158310616347,1649682448,#ইসলামিক_ভিডিও #viral #tiktokofficial #foryoupage,6996520964734485509,smshaju2000,অাল্লাহ সর্বশক্তিমান❤️,0,False,https://www.tiktok.com/@smshaju2000/video/7085332158310616347?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085332158310616347&source=h5_m,118996,454,3204,622,30474,7061572144857090842,7061572144857090842,72,7061572144857090842,original sound - gamerwithmizan,MizanuR RahmaN,6.619992774182535e+18,MizanuR RahmaN,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7061572132761144091.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8e78882cf999083ad258be7986831efb.json,False,False,,,,,[],0,0,Bangladesh,#ইসলামিক_ভিডিও #viral #tiktokofficial #foryoupage,0,0,1,0,0,0,0,0,0,1
4,BD,7073272788634684698,1646874657,#🤣🤣#tiktokvairalvideo #foryou #foryoupage #fyp #2022tiktok #মুন্সিগঞ্জের_পোলা @bdtiktokofficial,6701258910366729217,❓👉-K.i.n.g👑E.m.o.n-👈❓,Emon Playboy 😏😏মায়ের পাগল😍😍Munshigonj r chele 🤗🤗tik tok lover😍😍,0,False,https://www.tiktok.com/@skemon1249/video/7073272788634684698?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073272788634684698&source=h5_m,11700613,4698,14248,109805,709282,7069293278755130138,7069293278755130138,72,7069293278755130138,original sound - __sohan_ahmed__,❤️🆂🅾🅷🅰🅽.🅰🅷🅼🅴🅳❤️,7.031567172242736e+18,❤️🆂🅾🅷🅰🅽.🅰🅷🅼🅴🅳❤️,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7069293274523011866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/82f663fd92cd341de0061ea200e0f8c7.json,False,False,,,,,[],0,0,Bangladesh,#🤣🤣#tiktokvairalvideo #foryou #foryoupage #fyp #2022tiktok #মুন্সিগঞ্জের_পোলা,0,1,1,1,0,0,0,0,0,0
5,BD,7100155927432531227,1653133875, ,7016264254120051713,MdSumon,No bio yet,0,False,https://www.tiktok.com/@user4655916363/video/7100155927432531227?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100155927432531227&source=h5_m,902296,343,1442,3824,51498,7100155933464709914,7100155933464709914,72,7100155933464709914,original sound - user4655916363,MdSumon,7.016264254120052e+18,MdSumon,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7100155947460397850.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0e358ec34d466bd80557d3923e65df66.json,False,False,,,,,[],0,0,Bangladesh,,0,0,0,0,0,0,0,0,0,0
6,BD,7099806585534369051,1653052538, ,6962964939976328198,sadia akter mim,হিমু ইসলাম,0,False,https://www.tiktok.com/@sadiaak51/video/7099806585534369051?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099806585534369051&source=h5_m,1249277,0,252,113,25083,7099806609849355034,7099806609849355034,72,7099806609849355034,original sound - sadiaak51,sadia akter mim,6.962964939976328e+18,sadia akter mim,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7099806614919695130.mp3,,False,False,,,,,[],0,0,Bangladesh,,0,0,0,0,0,0,0,0,0,0
7,ID,7102940124274625819,1653782123,Sprai full karet di gunakan lebih mudah #simpel #fyp #viral,7096313570816705562,Ceminil1434,"🔵Membuat kegiatan sehari-hari menjadi mudah
🔵Follow @ceminil1434 & share video",0,False,https://www.tiktok.com/@ceminil1434/video/7102940124274625819?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102940124274625819&source=h5_m,2391,1,0,0,374,6636211004302691073,6636211004302691073,25,6636211004302691073,Milk Tea,Official Sound Studio,6.633258063153676e+18,,True,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/24f6ae0fe7a64c729ae922da4a962045,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d6a31fd411124e2a8abf54488b1a8ccb,True,True,,,,,[],0,0,Bangladesh,#simpel #fyp #viral,0,0,0,1,0,0,0,0,0,1
0,PK,7101687476414090523,1653490468,Camel beutyfull ❤️say mashalla 2022 #foryou #100k #viral #burhan_tv #trending #standwithkashmir,6834409542110004229,rana dawood 110,gujranwala babar shair🦁🦁,0,False,https://www.tiktok.com/@ranadawood044/video/7101687476414090523?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101687476414090523&source=h5_m,14193234,1,2964,2050,400884,6973815403801741313,6973815403801741313,10033,6973815403801741313,Jaanam Fida-e-Haideri,Noor Sisters,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/49bf3560e5384d3bbd5e6822b578e33b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/fe787846dd2b4596b722c4548638ba50,False,True,,,,,[],0,0,Bangladesh,#foryou #100k #viral #burhan_tv #trending #standwithkashmir,0,1,0,0,0,0,1,0,0,1
