,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_couples,hash_cyprus,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_greece,hash_viral
0,CY,7102828483138669825,1653756129,oops..🙊,6811956751061009413,a__k,😋,0,False,https://www.tiktok.com/@aphroditeky/video/7102828483138669825?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102828483138669825&source=h5_m,50267,19,6,0,2145,7101260645275126530,7101260645275126530,72,7101260645275126530,original sound - makeupandmore.cy,Makeup & More (Larnaca Cyprus),7.072088049694623e+18,Makeup & More (Larnaca Cyprus),False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101260640731417345.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/361364bc73c8bc81458b097d4a4d12bb.json,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
1,CY,7101327664908143873,1653406692,Γειά σου ρε Αλάμπρα μου ρε! 😎🤣 #comedy #Cyprus #uk #CottageCheese #foryoupage,192501813475119104,Pan Dragomir,Pretending to be normal on Instagram.. 🤪,0,False,https://www.tiktok.com/@pan.dragomir/video/7101327664908143873?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101327664908143873&source=h5_m,162837,161,268,158,14735,7101327670297889537,7101327670297889537,72,7101327670297889537,original sound - pan.dragomir (Contains music from: Tris Elies Dje Mian Domatan - Michalis Terlikkas),"Contains music from: ""Tris Elies Dje Mian Domatan""",1.925018134751191e+17,Pan Dragomir,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101327650400127745.mp3,,False,False,Michalis Terlikkas,Tris Elies Dje Mian Domatan,original sound - pan.dragomir (Contains music from: Tris Elies Dje Mian Domatan - Michalis Terlikkas),"Contains music from: ""Tris Elies Dje Mian Domatan""",[],0,0,Cyprus,#comedy #Cyprus #uk #CottageCheese #foryoupage,0,1,0,1,0,0,0,0,0,0
2,TH,7094937714541219074,1651918918,Google my name SolaZola 😉,6886113456118924290,🌸SolaZola🌸,Follow my Instagram  ⬆️,0,False,https://www.tiktok.com/@baby_sola/video/7094937714541219074?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094937714541219074&source=h5_m,9463620,5768,5803,8591,613714,7054389232877554478,7054389232877554478,72,7054389232877554478,original sound - simp_hubofficiall (Contains music from: Space Cadet - Metro Boomin),"Contains music from: ""Space Cadet""",7.034611217013294e+18,YOUR LOCAL ✨SIMP✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7054389235629804334.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5b6d3107c39b60ec78db407a3f34a418.json,False,False,Metro Boomin,Space Cadet,original sound - simp_hubofficiall (Contains music from: Space Cadet - Metro Boomin),"Contains music from: ""Space Cadet""",[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
3,CY,7089850256061385990,1650734400,Sorry dad.. #fyp #boy #gayteen,6933583250645337093,Romeo,"he/him 
All the links on Insta😜",0,False,https://www.tiktok.com/@romeo_twi/video/7089850256061385990?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089850256061385990&source=h5_m,1814703,765,1197,787,263974,7070933441591642886,7070933441591642886,72,7070933441591642886,original sound - biteable (Contains music from: Everybody (Backstreet's Back) (Radio Edit) - Backstreet Boys),"Contains music from: ""Everybody (Backstreet's Back) (Radio Edit)""",6.856836069658379e+18,Biteable,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070938771948063493.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e072d6e5874ac340b42f14a88e013bf5.json,False,False,Backstreet Boys,Everybody (Backstreet's Back) (Radio Edit),original sound - biteable (Contains music from: Everybody (Backstreet's Back) (Radio Edit) - Backstreet Boys),"Contains music from: ""Everybody (Backstreet's Back) (Radio Edit)""",[],0,0,Cyprus,#fyp #boy #gayteen,0,0,0,0,0,0,1,0,0,0
4,PL,7099860440934518021,1653065078,Wait for it 😁,7087223273573876742,iam.fannybaby,"Backup ❤️
Follow my IG ⬆️",0,False,https://www.tiktok.com/@iam.fannybaby/video/7099860440934518021?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099860440934518021&source=h5_m,3918498,480,1366,2811,166384,6676057743184481030,6676057743184481030,72,6676057743184481030,Vokker & Darrow - Everyday (Contains music from: Everyday - Vokker & Darrow),"Contains music from: ""Everyday""",6.615830236179202e+18,辛宇-,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1629895673094150.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8b421e5dad89f7e1fb687eae3fb1edbf.json,False,False,Vokker & Darrow,Everyday,Vokker & Darrow - Everyday (Contains music from: Everyday - Vokker & Darrow),"Contains music from: ""Everyday""",[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
5,CY,7084585410877328641,1649508583,#συρραφή με @slothgirl__ #fy #fyp,125425216855371776,NANA,lamne rwta🤣🤣🤣🤣❤❤❤,0,False,https://www.tiktok.com/@nana.el3/video/7084585410877328641?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084585410877328641&source=h5_m,304824,765,1493,880,16941,7084585411804547842,7084585411804547842,72,7084585411804547842,original sound - nana.el3,NANA,1.2542521685537178e+17,NANA,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7084585408775883521.mp3,,False,False,,,,,[],0,0,Cyprus,#συρραφή #fy #fyp,0,0,0,0,0,1,1,0,0,0
6,CY,7102072323318041857,1653580072,Tips how to get a summee body 💁🏼‍♀️😂,18059876,Stavros Georgiou,"If you have to ask 
You will never know
If you know
You only need to ask",0,False,https://www.tiktok.com/@stavrosgeorgiou/video/7102072323318041857?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102072323318041857&source=h5_m,295470,393,1541,957,35232,7102072303878097666,7102072303878097666,72,7102072303878097666,original sound - stavrosgeorgiou,Stavros Georgiou,18059876.0,Stavros Georgiou,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102072311192275714.mp3,,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
7,PH,7097491601097755930,1652513538,قومي قومي رقصي 💃🕺,6518665026446213121,MONA,"📣 For Updates 📣
Twitter: mngnzlsx
💌 teammona2022@gmail.com

👇YT Channel👇",0,False,https://www.tiktok.com/@mngnzls/video/7097491601097755930?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097491601097755930&source=h5_m,28570023,57207,27215,105446,2650939,7097491590234557211,7097491590234557211,24,7097491590234557211,original sound - mngnzls,MONA,6.518665026446213e+18,MONA,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7097491609075452698.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d126e052c300458e1a2397fc85c32e4d.json,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
0,CY,7102801682219666690,1653749888,🤣♥️ #μεμασιεσαι #fyp #viral #foryoupage,57330654228545536,evelinaxxz,"21
🇨🇾
✨Find all my links below✨
#ΜΕμασιεσαι",0,False,https://m.tiktok.com/v/7102801682219666690.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102801682219666690&source=h5_m,88881,12,3,8,4175,7087113235861719813,7087113235861719813,72,7087113235861719813,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",6.92775759039221e+18,Stirflex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087113283337063173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ff08a299e2db4c70d7a2a994177212b.json,False,False,El Alfa & Chael Produciendo,Gogo Dance,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",[],0,0,Cyprus,#μεμασιεσαι #fyp #viral #foryoupage,0,0,0,1,0,0,1,0,0,1
1,GB,7102180970954034438,1653605369, ,6809198105763300357,Helena,"Step out your comfort zone ❤️

If you know me, please leave",0,False,https://m.tiktok.com/v/7102180970954034438.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102180970954034438&source=h5_m,4017559,582,1646,2075,144603,6811968697339579141,6811968697339579141,72,6811968697339579141,original sound - hizqueen_100,HizQueen💯,6.601044405204779e+18,HizQueen💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663078503873590.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05e6ff0faf6ea31abb4839a05347fe16.json,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
2,US,7090333854736583978,1650846996,I CANT BELIEVE THIS 🤣 #poot #baby #babiesoftiktok #fyp #4u #viral #surprise #react #reaction #sass #parents #parentsoftiktok #MomsofTikTok #momlife #trend #comedy  IB: @Dawn Walker,6767527973299536901,AbbieHerbert,"Abbie@talentxent.com
YouTube ⬇️",0,False,https://m.tiktok.com/v/7090333854736583978.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090333854736583978&source=h5_m,29868488,7740,20552,13667,4609020,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Cyprus,#poot #baby #babiesoftiktok #fyp #4u #viral #surprise #react #reaction #sass #parents #parentsoftiktok #MomsofTikTok #momlife #trend #comedy,0,0,0,0,0,0,1,0,0,1
3,CY,7088982487795371266,1650532358,#clean #cleantok #cleaning #cleaningtiktok #cleaninghacks #satisfying,7088260864335463426,cleanwithme,clean with me ❤️‍🔥,0,False,https://m.tiktok.com/v/7088982487795371266.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088982487795371266&source=h5_m,435162,84,77,29,11841,6772314937688640262,6772314937688640262,72,6772314937688640262,original sound - alorasky,Alora Happyface ,6.747716849797039e+18,Alora Happyface ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1653397076366389.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f6f63f98ffa4acbd88fc9852d172a0fc.json,False,False,,,,,[],0,0,Cyprus,#clean #cleantok #cleaning #cleaningtiktok #cleaninghacks #satisfying,0,0,0,0,0,0,0,0,0,0
4,VN,7079738206748560666,1648380004, ,6914483045182112770,Nhập hàng việt nam,Hãy theo dõi kênh ❤️❤️     ( 🔝🔝🔝🔝 ) Cập Nhật mới mỗi ngày!!! Cảm ơn,0,False,https://m.tiktok.com/v/7079738206748560666.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079738206748560666&source=h5_m,25082315,2423,21664,939,236982,7079738216231832346,7079738216231832346,24,7079738216231832346,original sound - nhaphangvietnam,Nhập hàng việt nam,6.914483045182113e+18,Nhập hàng việt nam,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7079738217037122330.mp3,,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
5,CY,7083096660720487681,1649161956,#cyprus #cy #foryou,6620704266410622981,pavlinakazmina,🇷🇺🇷🇺🇷🇺,0,False,https://m.tiktok.com/v/7083096660720487681.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083096660720487681&source=h5_m,92056,86,13,27,3539,7075796291619408683,7075796291619408683,72,7075796291619408683,I wanna ride I wanna ride (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",7.054666782247323e+18,❤️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075796308279233322.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a62fe0dffe48cc60ef790ad2d693b705.json,False,False,Joseline Hernandez,Vegas (I Wanna Ride),I wanna ride I wanna ride (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",[],0,0,Cyprus,#cyprus #cy #foryou,0,1,1,0,0,0,0,0,0,0
