,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_duet,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_ghanatiktok,hash_tiktok,hash_tiktokghana,hash_trending,hash_viral
7,DE,7081304027673152773,1648744575,@juiscyvibez eiiiiiiii I’m even scared,6539358144094011398,Tracymayy,"Kumerican Queen🇬🇭🇩🇪
           
insta: tracymayy",0,False,https://www.tiktok.com/@tracymayy90/video/7081304027673152773?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081304027673152773&source=h5_m,479271,511,579,182,58392,7052230759087606534,7052230759087606534,72,7052230759087606534,original sound - robertgh_,Robertgh,6.936713918250141e+18,Robertgh,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7052230845377481477.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/06491ee273a3b0bb879afb9a5a627acb.json,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
0,GH,7102001150454418694,1653563502,#fyp #😂😂😂😂😂,6964680798369825798,ABENAA YOLA❤️,guys plz follow me on IG Abena Payola ❤️🙏,0,False,https://www.tiktok.com/@abenapayola5/video/7102001150454418694?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102001150454418694&source=h5_m,136770,151,24,193,11499,7101992132067838725,7101992132067838725,72,7101992132067838725,original sound - bigails803,kwartengabigail25,6.915857013247526e+18,kwartengabigail25,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101992139407493894.mp3,,False,False,,,,,[],0,0,Ghana,#fyp #😂😂😂😂😂,0,0,0,1,0,0,0,0,0,0
1,GH,7096018997111475462,1652170678,BIG MOOD!..🏳️‍🌈🥳#lgbt #loveislove🏳️‍🌈 #pregnancy #lgbtparents #foryou #fypシ,6969766287657550853,Baddie 🍒🏳️‍🌈💜,"Cute Fem🦋🏳️‍🌈💍
TRANSITION BADDIE🦹
Scorpio ♏️ baby 🦋🌈 
SAIL with ME🥰",0,False,https://www.tiktok.com/@baddiesbae01/video/7096018997111475462?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096018997111475462&source=h5_m,840382,418,211,402,34946,7093949567481285381,7093949567481285381,10036,7093949567481285381,Buga (Lo Lo Lo),Kizz Daniel & Tekno,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1e5583a1ea154f6ba01499ffe3936b4a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53a160ccc5714d6c986cc822daeb6ddd,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1621384034', 'external_song_key': 'apple_song_id'}]",0,0,Ghana,#lgbt #loveislove🏳️‍🌈 #pregnancy #lgbtparents #foryou #fypシ,0,1,0,0,1,0,0,0,0,0
2,GH,7083265290129231109,1649201218,Reply to @maame_paris  Bts #behindthescene #teamtennie,269848193209638912,KING OF QUEENS 👑,"GhMercyJohnson
Let’s get to 1.8Million 
Ig⤵️
For business 📞 0246788355",0,False,https://www.tiktok.com/@asantewaaaaa/video/7083265290129231109?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083265290129231109&source=h5_m,6872593,5937,2862,16647,450118,7081205964560501510,7081205964560501510,10036,7081205964560501510,Kwaku the Traveller,Black Sherif,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0a5dd74d2a6b484fa2bc480d6312f92d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c59526bb39c941fab5656a50a2f49593,False,True,,,,,[],0,0,Ghana,#behindthescene #teamtennie,0,0,0,0,0,0,0,0,0,0
3,GH,7070262908155989253,1646173865,My gee my nigga @yawtogyt #tiktokghana🇬🇭 #brotherlove #viral,6999960283239138310,_phaney,Life is never easy. There is work to be done and obligations to be met –🇬🇭,0,False,https://www.tiktok.com/@_phaney/video/7070262908155989253?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070262908155989253&source=h5_m,1394777,256,241,3593,99265,7060620106417720069,7060620106417720069,72,7060620106417720069,Cashapp Owa,user5792336382073,7.020177583162492e+18,user5792336382073,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7060620142266714886.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/885b76d430842aa81e21f5f4859056a8.json,False,False,,,,,[],0,0,Ghana,#tiktokghana🇬🇭 #brotherlove #viral,0,0,0,0,0,0,0,1,0,1
4,CA,7077327933337128197,1647818819,BODY CONTOURING = LIFE 🔥😍 #bodycontouring #cosmeticinjector #cosmeticinjections,6798953651195347973,Adore Aesthetics,"♡ Advanced Aesthetics 
♡ Advanced Nurse Injector & Lip Specialist
📍Ontario, CAD",0,False,https://www.tiktok.com/@advancedbeautyadore/video/7077327933337128197?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077327933337128197&source=h5_m,15459015,2146,17478,17556,235137,6948074928969091845,6948074928969091845,72,6948074928969091845,Peaches sickmix,Sickickmusic,1.2827297219213722e+17,Sickickmusic,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6948075036506852102.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/751d13e8a1a091d8166eab8bf6c38646.json,False,False,,,,,[],0,0,Ghana,#bodycontouring #cosmeticinjector #cosmeticinjections,0,0,0,0,0,0,0,0,0,0
5,GH,7086725064107789573,1650006761, ,6934165087884854278,Diporty Best🕊,💫🌹Friday Finest🤩💞💝Kofi Diporty✅🥰,0,False,https://www.tiktok.com/@diportybest/video/7086725064107789573?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086725064107789573&source=h5_m,947901,275,3689,648,44935,7076119314071390982,7076119314071390982,72,7076119314071390982,original sound - kwasipaul740,Apostle 1,6.94291825741462e+18,Apostle 1,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076119321528896262.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9724a21ca8ec7f92f2fc93123d4ccbe5.json,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
6,GH,7095333624752377094,1652011096,Adua bi se kway3 mu y3fr3 no wcma😂 #fyp #fypシ #viral #trending #sunday,7063901952165626886,TheBoy,"CEO:How can you tell me this story😕
Twi-Nglish Language
text me on instagram😂",0,False,https://www.tiktok.com/@the_boy4420/video/7095333624752377094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095333624752377094&source=h5_m,260481,785,1184,6605,33884,7095333592506714885,7095333592506714885,72,7095333592506714885,original sound - the_boy4420,TheBoy,7.063901952165627e+18,TheBoy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095333610642770694.mp3,,False,False,,,,,[],0,0,Ghana,#fyp #fypシ #viral #trending #sunday,0,0,0,1,1,0,0,0,1,1
7,GH,7103492472088612101,1653910727,Reply to @afuakoodey I’m a ksi gal tho 🌚😊😒😹#fyyyyyyyyyppppppppp #verifynanayaalittle1 #fypシ,6812189923568501766,nanayaalittle1❤️🌎🌚,"Everything is time 🙏🏻😍
IG: nanayaalittle1 

DM on IG for advertisement",0,False,https://www.tiktok.com/@nanayaalittle1/video/7103492472088612101?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103492472088612101&source=h5_m,59442,159,132,667,6008,7103492437443955462,7103492437443955462,72,7103492437443955462,original sound - nanayaalittle1,nanayaalittle1❤️🌎🌚,6.812189923568502e+18,nanayaalittle1❤️🌎🌚,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103492442221038342.mp3,,False,False,,,,,[],0,0,Ghana,#fyyyyyyyyyppppppppp #verifynanayaalittle1 #fypシ,0,0,0,0,1,0,0,0,0,0
0,GH,7101519255480323334,1653451318,Love ❤️ her till casket ⚰️ @brai875 @blesslindos1 @adnanmohammed53,7086360246231680006,braimzybabalomo1,AIN'T BEEN POSTING ON THE GRAM 🥵COZ THE SH** I DO AIN'T FOR THESE FLASHY CAMERA,0,False,https://www.tiktok.com/@braimzybabalomo1/video/7101519255480323334?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101519255480323334&source=h5_m,225728,247,107,725,19824,7090254714264161025,7090254714264161025,72,7090254714264161025,original sound - rain.loverss (Contains music from: Real Love - Massari),"Contains music from: ""Real Love""",7.04071219815139e+18,Rainy🌧,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7090254717799992066.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f794c8c2cca4f8d1ac468c018775eaa1.json,False,False,Massari,Real Love,original sound - rain.loverss (Contains music from: Real Love - Massari),"Contains music from: ""Real Love""",[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
1,GH,7103553996387814662,1653925051,@_livyaaah @papascript,6647238826971332613,Baby Boy 👑🌟❤️💥,"I Do promos/Ads 💰✅
❤️Snapchat: @Logan2tyt
📧: charleskessie100@gmail.com",0,False,https://www.tiktok.com/@say.logan/video/7103553996387814662?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103553996387814662&source=h5_m,129280,308,47,671,24936,7096115692328160006,7096115692328160006,72,7096115692328160006,AMJAY Beatmix Buga Challenge,AmJay,6.949227928375133e+18,AmJay,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096115679308417797.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/189cf623bccba301157117246ddabe7c.json,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
2,GH,7101230931125472517,1653384171,Carry we det go ooo @emmaifeanyi,6816226357635564550,FellaMakafui,"Actress,BUSINESS MOGUL !!",0,False,https://www.tiktok.com/@fella_makafui/video/7101230931125472517?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101230931125472517&source=h5_m,301784,558,79,670,44762,7101230911273929477,7101230911273929477,72,7101230911273929477,original sound - fella_makafui (Contains music from: Carry Me Dey Go - Highlife Remix - ISONG BEATS),"Contains music from: ""Carry Me Dey Go - Highlife Remix""",6.816226357635565e+18,FellaMakafui,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101230883729951494.mp3,,False,False,ISONG BEATS,Carry Me Dey Go - Highlife Remix,original sound - fella_makafui (Contains music from: Carry Me Dey Go - Highlife Remix - ISONG BEATS),"Contains music from: ""Carry Me Dey Go - Highlife Remix""",[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
3,GH,7101692768858361094,1653491700,#fyp #viral,6850745462032270342,Adwoa_Achiaa,"Instagram : @maadwoa__
YouTube:Achiaa the entertainer 
Snapchat:nana.damiah",0,False,https://www.tiktok.com/@achiaa_damiah/video/7101692768858361094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101692768858361094&source=h5_m,179154,722,286,1170,20067,7101692765951544069,7101692765951544069,72,7101692765951544069,original sound - achiaa_damiah,Adwoa_Achiaa,6.85074546203227e+18,Adwoa_Achiaa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101692773723589382.mp3,,False,False,,,,,[],0,0,Ghana,#fyp #viral,0,0,0,1,0,0,0,0,0,1
4,NG,7101417705512652038,1653427658,my first video on tiktok,7092810386001527814,Lilian Chinaka,https://www.instagram.com/p/CdnIOZAMr1K/?igshid=MDJmNzVkMjY=,0,False,https://www.tiktok.com/@lilly_savage19/video/7101417705512652038?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101417705512652038&source=h5_m,1075992,1428,365,3289,46442,7078302052895509253,7078302052895509253,72,7078302052895509253,Submit the Pin of your ATM (Contains music from: The Pin of your ATM - The Hit Maker),"Contains music from: ""The Pin of your ATM""",6.927706146748761e+18,The Hit Maker ⚡️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078302050492402438.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ae5a2cd2955b781fb5b4ec30eb4610ed.json,False,False,The Hit Maker,The Pin of your ATM,Submit the Pin of your ATM (Contains music from: The Pin of your ATM - The Hit Maker),"Contains music from: ""The Pin of your ATM""",[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
5,ZA,7101571884029857030,1653463557,#fyp #fyp #viral #cocolate👸🏾,6866788210782946309,Ntswaki Mkonde,"Self love, positive vibes only & fun.👸🏾
IG➡️ @cocolate__za 150k+ followers.",0,False,https://www.tiktok.com/@cocolate__za/video/7101571884029857030?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101571884029857030&source=h5_m,1219462,781,557,3134,72822,7098321761296517894,7098321761296517894,72,7098321761296517894,Message To My Ex,👑Energy Queen👑,6.818817924141532e+18,👑Energy Queen👑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098644542378806021.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6f282dbea4e57d47b532c9cbee904c33.json,False,False,,,,,[],0,0,Ghana,#fyp #fyp #viral #cocolate👸🏾,0,0,0,2,0,0,0,0,0,1
6,NG,7103472757723155717,1653906138,YOU NEED TO CRY TO GOD FOR BURDEN BEARERS | Apostle Joshua Selman #apostlejoshuaselmannimak #truespirit #koinonia #koinoniaglobal #apostlejoshuaselm #eni,7056057364554400773,Truespirit Tv,Follow us on YouTube via the link below for more Videos,0,False,https://www.tiktok.com/@truespirit_tv/video/7103472757723155717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103472757723155717&source=h5_m,205559,464,1426,6874,10941,7103472733920480005,7103472733920480005,72,7103472733920480005,original sound - truespirit_tv,Truespirit Tv,7.056057364554401e+18,Truespirit Tv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103472749208701702.mp3,,False,False,,,,,[],0,0,Ghana,#apostlejoshuaselmannimak #truespirit #koinonia #koinoniaglobal #apostlejoshuaselm #eni,0,0,0,0,0,0,0,0,0,0
7,GH,7093942512024423686,1651687203, ,6913370996985791494,Wendy shay,Official fanpage for the Shaygang president (WS) New song out now 👇🔥👇,0,False,https://www.tiktok.com/@shay1gang/video/7093942512024423686?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093942512024423686&source=h5_m,808442,1456,201,2151,70100,7076178136719525889,7076178136719525889,10033,7076178136719525889,My Man - Tiktok,Yemi Alade,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e2aed2783c5042baa15e64d8e12cbfe0,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2c1915b819c944eba588e7c979f8e054,False,True,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
0,GH,7102376825321426182,1653650970,Thank you Jesus for making me blessed 🙏🙏🙏🙏🙏🙏🙏🙏,6919044680765162501,Sk Frimpong,Sk frimpong is a recording Artist and a praise and worship leader ...,0,False,https://www.tiktok.com/@skfrimpong2/video/7102376825321426182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102376825321426182&source=h5_m,123173,129,1053,6143,10708,7102376788953287430,7102376788953287430,72,7102376788953287430,original sound - skfrimpong2,Sk Frimpong,6.919044680765162e+18,Sk Frimpong,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102376807328008966.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5a2f175e146d6208d5538e386f6de7e0.json,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
1,GH,7093248534580825350,1651525623,My mum is a vibe ❤️😂 #erkuahofficial #fyp #viral,6679886495132910597,erkuahofficial 🤪,"This is my only account!!!
I’m here to make you smile ☺️
Thank you for 2.7M 🎉",0,False,https://www.tiktok.com/@erkuahofficial/video/7093248534580825350?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093248534580825350&source=h5_m,889394,2834,261,1881,141323,7061551698140990213,7061551698140990213,72,7061551698140990213,original sound - landlord.1,Landlord 💫,6.780288395345823e+18,Landlord 💫,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7061640245011598085.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9c083c727fd035a2fcf6de07731f8f31.json,False,False,,,,,[],0,0,Ghana,#erkuahofficial #fyp #viral,0,0,0,1,0,0,0,0,0,1
