,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_kuwait,hash_tiktok,hash_viral,hash_اكسبلور,hash_الشعب_الصيني_ماله_حل
0,JO,7102762979829058817,1653740880,أخطر شي عملته بحياتي ركبت عالجمل بدون حماية 😱🔥#ramroomfatooh #بترا #petra #الاردن,6762178823754793990,Reema🇦🇪ريما,"📍Abu Dhabi 🇦🇪
reema.sarhan92@gmail.com
تعالوا انستجرام 🔥 برد عالخاص 😍",0,False,https://www.tiktok.com/@ramroomfatooh/video/7102762979829058817?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102762979829058817&source=h5_m,7788562,21077,39548,61732,258418,7102763004651260674,7102763004651260674,72,7102763004651260674,original sound - ramroomfatooh,Reema🇦🇪ريما,6.762178823754794e+18,Reema🇦🇪ريما,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102763014415862530.mp3,,False,False,,,,,[],0,0,Kuwait,#ramroomfatooh #بترا #petra #الاردن,0,0,0,0,0,0,0,0,0,0
1,JP,7102002161168551170,1653563736,早とちりするタイプ？💗😂 What color was the car behind you?,68384212255,なな茶🍵フォローしてね💗,"狙ってます♡フォローしてねっ
tiktokのパイすらお姉さん😳π
本日YouTube生配信20:00〜⏬",0,False,https://www.tiktok.com/@nanacha_0211/video/7102002161168551170?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102002161168551170&source=h5_m,3618914,3119,697,1827,107313,7102002137198070529,7102002137198070529,24,7102002137198070529,original sound - nanacha_0211,なな茶🍵フォローしてね💗,68384212255.0,なな茶🍵フォローしてね💗,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102002137911085826.mp3,,False,False,,,,,[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
2,SA,7097622166744698114,1652543939,الرد على @moody1500 حصل خير حصل خير تصير في اكبر العائلات 😂💔 #جدة #جده #اكسبلورexplore #foryou #fyp #ثروباك #عيد #ثروناو #fypシ,6730971111405896709,RaedALzhrani,"ENG👷🏻‍♂️⚡️ 
JEDDAH

👻👇🏻",0,False,https://www.tiktok.com/@iraedii/video/7097622166744698114?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097622166744698114&source=h5_m,22095760,29806,66206,102015,533500,7097622166577187585,7097622166577187585,72,7097622166577187585,original sound - iraedii,RaedALzhrani,6.730971111405897e+18,RaedALzhrani,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097622124105435905.mp3,,False,False,,,,,[],0,0,Kuwait,#جدة #جده #اكسبلورexplore #foryou #fyp #ثروباك #عيد #ثروناو #fypシ,1,0,0,1,1,0,0,0,0,0
3,NG,7102307121022127366,1653634742,I can neither see you 😂 #fypシ #viral #alibinkamal,7066505798440305670,Maara,"GOD first 🙏
loving it here!
Show love and get me to 10k pls 💘💖 thanks!",0,False,https://www.tiktok.com/@maaraz_/video/7102307121022127366?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102307121022127366&source=h5_m,2892362,2529,4519,15123,266637,7102307051447732997,7102307051447732997,72,7102307051447732997,original sound - maaraz_,Maara,7.066505798440306e+18,Maara,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102307073110919942.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4337e3e8bd81c02cfee2b4c292f77987.json,False,False,,,,,[],0,0,Kuwait,#fypシ #viral #alibinkamal,0,0,0,0,1,0,0,1,0,0
4,SA,7082835484254276865,1649101146, ,7016218300611822597,Roshilty,♎,0,False,https://www.tiktok.com/@roshilty/video/7082835484254276865?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082835484254276865&source=h5_m,11213199,19041,22842,37703,858566,7067047232037702426,7067047232037702426,24,7067047232037702426,original sound - nianaguerrero (Contains music from: Wait A Minute (Tik Tok Edit) - Remix - Verdun Remix),"Contains music from: ""Wait A Minute (Tik Tok Edit) - Remix""",10542006.0,Niana Guerrero,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7067052920260348698.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/64217ffb019396fed1d7e93272e5fc95.json,False,False,Verdun Remix,Wait A Minute (Tik Tok Edit) - Remix,original sound - nianaguerrero (Contains music from: Wait A Minute (Tik Tok Edit) - Remix - Verdun Remix),"Contains music from: ""Wait A Minute (Tik Tok Edit) - Remix""",[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
5,BH,7103637989087104257,1653944607,@ميتو الشامسي,6748641798518342662,Rana Alkhodari,Email For business enquiries: Rana.alk.inquiries@gmail.com,0,False,https://www.tiktok.com/@ranaalkhodari/video/7103637989087104257?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103637989087104257&source=h5_m,327585,305,105,388,26472,7103637969730816770,7103637969730816770,72,7103637969730816770,original sound - ranaalkhodari,Rana Alkhodari,6.748641798518343e+18,Rana Alkhodari,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103637928747830017.mp3,,False,False,,,,,[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
6,TR,7093486719017749762,1651581079,@russian_alba ile #ekleme,6729169538989343749,Zeynep,".❣️ CAN YOU FOLLOW MY DEAR❣️
TAKİP",0,False,https://www.tiktok.com/@zeynepx.v/video/7093486719017749762?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093486719017749762&source=h5_m,2334878,133,545,2508,49011,7093486714856934145,7093486714856934145,72,7093486714856934145,original sound - zeynepx.v,Zeynep,6.729169538989344e+18,Zeynep,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7093486706581932802.mp3,,False,False,,,,,[],0,0,Kuwait,#ekleme,0,0,0,0,0,0,0,0,0,0
7,AU,7096822330273336578,1652357712,when they’re magicians #fyp #wanda #drstrange #viral,7048239784070284289,editor,"after effects
spam like = block
discord + presets in card
txmhollandaes.carrd.co",0,False,https://www.tiktok.com/@txmhollandae/video/7096822330273336578?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096822330273336578&source=h5_m,44053153,16753,36881,175690,7514339,7096822309259954946,7096822309259954946,72,7096822309259954946,original sound - txmhollandae (Contains music from: While - Pete K),"Contains music from: ""While""",7.048239784070284e+18,editor,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096822314750249730.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9bba299360b1854a1afdc8a63d4420bf.json,False,False,Pete K,While,original sound - txmhollandae (Contains music from: While - Pete K),"Contains music from: ""While""",[],0,0,Kuwait,#fyp #wanda #drstrange #viral,0,0,0,1,0,0,0,1,0,0
0,AE,7095689769232960769,1652094017,الرد على @mimijama8  #علي_بن_كمال #explor #fy  @mahra_alshehi,6863821387484840966,Ahk,"A volunteer in human service
Presenter of children's programs✨",0,False,https://www.tiktok.com/@alibinkamal/video/7095689769232960769?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095689769232960769&source=h5_m,16159858,44268,43626,75985,1461382,7095689779727092482,7095689779727092482,72,7095689779727092482,original sound - alibinkamal,Ahk,6.863821387484841e+18,Ahk,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7095689769807612674.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c68c1aaef272e77fd53cf61ddd7f5fe3.json,False,False,,,,,[],0,0,Kuwait,#علي_بن_كمال #explor #fy,0,0,0,0,0,0,0,0,0,0
1,TW,7102761464653466907,1653740524,有亮點！,6577585783540318209,棉花糖☁️,"ig🔗
感謝大家衝破1萬❤️
留言告訴我想看我拍啥😎
天啊6000也破了！！
謝謝關注👁👅👁",0,False,https://www.tiktok.com/@doris_12_11/video/7102761464653466907?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102761464653466907&source=h5_m,68607,109,32,99,15185,7074912610465975067,7074912610465975067,10036,7074912610465975067,Se Acabo (feat. Method Man) (Remix),The Beatnuts,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/83967713a929434f8e9e7f3d45d7abc1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/90a3d2fbdde743b1ad7a58b5ba95f3d9,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '322754275', 'external_song_key': 'apple_song_id'}]",0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
2,DE,7092809524133858566,1651423408,He is always catching me 😮😂 #gaycouple #Love #travel,7079123550405362693,boysonvacation,"Couple account 🥰 of two boys 🏳️‍🌈
Cooperations 📧⬇️",0,False,https://www.tiktok.com/@boysonvacation/video/7092809524133858566?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092809524133858566&source=h5_m,2087685,1010,376,81,98277,7079848233727527723,7079848233727527723,72,7079848233727527723,original sound - hope_schwing (Contains music from: Perfect - Jungleboy),"Contains music from: ""Perfect""",6.41086141261865e+16,Hope Schwing,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079848259551824686.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/bdbf6f7891913266ce1589afae9f9f0c.json,False,False,Jungleboy,Perfect,original sound - hope_schwing (Contains music from: Perfect - Jungleboy),"Contains music from: ""Perfect""",[],0,0,Kuwait,#gaycouple #Love #travel,0,0,0,0,0,0,0,0,0,0
3,TH,7096699449510055195,1652329101,#kimheeae #kdram #aworldofmarriedcouple #hansoohee,6940201730206614530,Korea,,0,False,https://www.tiktok.com/@korea_thai1/video/7096699449510055195?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096699449510055195&source=h5_m,20728538,4067,3845,14825,1443120,7054337172945767214,7054337172945767214,72,7054337172945767214,mount everest sped up (Contains music from: Mount Everest - Labrinth),"Contains music from: ""Mount Everest""",6.733368876640683e+18,xxtristanxo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7054337204486949679.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/82daea190b041af000eaa3ebf3ba3d0d.json,False,False,Labrinth,Mount Everest,mount everest sped up (Contains music from: Mount Everest - Labrinth),"Contains music from: ""Mount Everest""",[],0,0,Kuwait,#kimheeae #kdram #aworldofmarriedcouple #hansoohee,0,0,0,0,0,0,0,0,0,0
4,AE,7101334736194243846,1653408339,Thought we were gonna go into emergency landing🥴  #fyp,26321646,Iman Said,🇨🇦,0,False,https://www.tiktok.com/@imansaid/video/7101334736194243846?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101334736194243846&source=h5_m,3847101,670,1192,208,30913,7101334738921130758,7101334738921130758,72,7101334738921130758,original sound - imansaid,Iman Said,26321646.0,Iman Said,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101334749846883077.mp3,,False,False,,,,,[],0,0,Kuwait,#fyp,0,0,0,1,0,0,0,0,0,0
5,LB,7081227994152307969,1648726873,Join my dancing class this Thursday on March 31 at @fitnessfirstoasiscentre 7 pmFor reservations call : 04 3307736Be many!!@marwaalshikheh @danafitnessdubai  @fitnessfirstalbarsha ...#dancewitheyad #oreintaldance #dubai #dxb #expodubai #danceclass #dance #dancer #dancelife #dancers #dancestudio #dancing #choreography #dancersofinstagram #dancevideo #dancechallenge #instadance #danceclasses #dancefloor #danceschool #dancelove #danceteacher #dancerlife #Fitness #Love #choreographer #fyp,6932723890532582402,Choreographer.eyadmalaeb,"Professional Dancer, Belly dance trainer & Choreographer.
Check my Instagram acc",0,False,https://www.tiktok.com/@choreographer.eyadmalaeb/video/7081227994152307969?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081227994152307969&source=h5_m,15919086,8365,46776,1486,562724,7081227996954217218,7081227996954217218,72,7081227996954217218,original sound - choreographer.eyadmalaeb (Contains music from: Boushret Kheir - حسين الجسمي),"Contains music from: ""Boushret Kheir""",6.932723890532582e+18,Choreographer.eyadmalaeb,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7081227971687615233.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/79284a64beb812316923199ee86f3d99.json,False,False,حسين الجسمي,Boushret Kheir,original sound - choreographer.eyadmalaeb (Contains music from: Boushret Kheir - حسين الجسمي),"Contains music from: ""Boushret Kheir""",[],0,0,Kuwait,#dancewitheyad #oreintaldance #dubai #dxb #expodubai #danceclass #dance #dancer #dancelife #dancers #dancestudio #dancing #choreography #dancersofinstagram #dancevideo #dancechallenge #instadance #danceclasses #dancefloor #danceschool #dancelove #danceteacher #dancerlife #Fitness #Love #choreographer #fyp,0,0,0,1,0,0,0,0,0,0
6,TN,7102608656054619397,1653704949, ,7009640129779647493,🇮🇳,,0,False,https://www.tiktok.com/@bollywoodd.0/video/7102608656054619397?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102608656054619397&source=h5_m,3156392,1351,1783,5675,119937,7095730294212266753,7095730294212266753,72,7095730294212266753,original sound - e_hab (Contains music from: أسعد البطحري - ياسية - Moez Programmer),"Contains music from: ""أسعد البطحري - ياسية""",6.588566344118927e+18,( إيهاب العوني ),False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7095730280215956226.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a54c72a28bac3310cf07ab56091847b4.json,False,False,Moez Programmer,أسعد البطحري - ياسية,original sound - e_hab (Contains music from: أسعد البطحري - ياسية - Moez Programmer),"Contains music from: ""أسعد البطحري - ياسية""",[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
7,KZ,7099512852448365826,1652984148,comment your country flag🥰 inst: kagiristwins,16665941,Kagiris Twins,"inst: kagiristwins 
      20 y.o.
adv: kagiristwins@gmail.com",0,False,https://www.tiktok.com/@kagiristwins/video/7099512852448365826?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099512852448365826&source=h5_m,6167595,4115,1061,6608,275035,7072479175814187782,7072479175814187782,72,7072479175814187782,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",6.831674564565763e+18,Iconicfatma,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072479167769873157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d203808dc93f54480af65167e04b08e8.json,False,False,Myriam Fares,Goumi - Sped Up Version,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
0,MX,7102398547420630277,1653656027, ,7102394819209380869,💝 Check My ВІО 😘,🔥 Priv For You 👇,0,False,https://www.tiktok.com/@thougeh/video/7102398547420630277?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102398547420630277&source=h5_m,5772910,1494,12265,21696,106240,7094179885190908678,7094179885190908678,72,7094179885190908678,original sound - vvcstk,Tik Toker,7.094174843196868e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094179932762295046.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8cab0bac42836768496beb1b0dc43785.json,False,False,,,,,[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
1,US,7096904415612914946,1652376825,Hahah didn’t expect this,6950995786503357441,selllboy,"subscribe to my 
🖤inst: ssselboy🤍",0,False,https://www.tiktok.com/@selllboy/video/7096904415612914946?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096904415612914946&source=h5_m,23331360,1375,2411,5673,1844332,242635592474492928,242635592474492928,71,242635592474492928,Rompe,Reggaeton Latino Band,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/597a05b12e554cf69165e5c75d4eb62e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/baccde39ed984dadbcd48028c416a123,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '286759926', 'external_song_key': 'apple_song_id'}]",0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
2,KW,7080586034458692866,1648577405,yum 😩#explor #fyp #foryou,6559223134455600143,sh_xg167,"Hanan Alshubaili +Shaima Alshubaili🇸🇦
live:🇰🇼
سنابي👇🏽",0,False,https://www.tiktok.com/@sh.ha_192/video/7080586034458692866?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080586034458692866&source=h5_m,13186172,13594,48283,205389,1201480,7061271396685056774,7061271396685056774,72,7061271396685056774,Baby (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",7.060564211961742e+18,Spe3d_up_songs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7061271416649304837.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7b182c7614667851fe872d5217f0532f.json,False,False,Justin Bieber,Baby,Baby (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",[],0,0,Kuwait,#explor #fyp #foryou,1,0,0,1,0,0,0,0,0,0
3,IT,7096912666890947845,1652378745,PERFECT😂 #coppiadivertente #perfect #couplefun #couples #couplesmile #ahah #😂 #funnyvideos #fun #fidanzati #vitadicoppia #padella #comedy,6765444171144397830,veroandste,"🇮🇹 Italian couple 🥰

⇣ ❤️Love, sport and smile for you 😆 ↴
Follow for more",0,False,https://www.tiktok.com/@veroandste98/video/7096912666890947845?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096912666890947845&source=h5_m,7135768,455,3452,8066,157606,7094644325530749701,7094644325530749701,72,7094644325530749701,original sound - biawferro,Bia Ferro,6.56070587446136e+18,Bia Ferro,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094670024073693958.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ec1eea46684ede913d7522a970be937f.json,False,False,,,,,[],0,0,Kuwait,#coppiadivertente #perfect #couplefun #couples #couplesmile #ahah #😂 #funnyvideos #fun #fidanzati #vitadicoppia #padella #comedy,0,0,0,0,0,0,0,0,0,0
4,QA,7093488355169537282,1651581460,اخر قروب ممكن تشوفونهم مسوين هذا التريند 😂 🕺🏻 #fypシ #familytime #foryou #mynameischicky,91008180977098752,Kareemtime 🇶🇦,"Family Time 🇶🇦

Click the link and follow us 👻",0,False,https://www.tiktok.com/@kareemtime/video/7093488355169537282?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093488355169537282&source=h5_m,6267348,1065,711,2493,137648,7058586201434901254,7058586201434901254,72,7058586201434901254,original sound - lewpatel64 (Contains music from: My Name Is - D Billions),"Contains music from: ""My Name Is""",6.865713856745932e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7058586195823348485.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3a7b1af54cc01195ee52ee3c230cbb48.json,False,False,D Billions,My Name Is,original sound - lewpatel64 (Contains music from: My Name Is - D Billions),"Contains music from: ""My Name Is""",[],0,0,Kuwait,#fypシ #familytime #foryou #mynameischicky,1,0,0,0,1,0,0,0,0,0
5,KW,7103430468560817409,1653896290,#الشعب_الصيني_ماله_حل😂😂,6895082743571710977,🇰🇼عـــــنــــــزي🇰🇼,10.k?💔,0,False,https://www.tiktok.com/@yo.l2/video/7103430468560817409?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103430468560817409&source=h5_m,245418,439,425,5,7450,7088426643819154177,7088426643819154177,72,7088426643819154177,original sound - hwhw_8,"فُـ,ـهڊ",7.068311683798173e+18,"فُـ,ـهڊ",False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7088426588244675329.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2a75cec20c41172733036c431a125c2c.json,False,False,,,,,[],0,0,Kuwait,#الشعب_الصيني_ماله_حل😂😂,0,0,0,0,0,0,0,0,0,1
6,SA,7072414491920616705,1646674819,اسهل حاجه #انجليزي #انقلش #لغة_انجليزية #الانجليزية #اللغة_الانجليزية #انجليزي_امريكي #تعلم_اللغة_الإنجليزية,6988246781009527810,الانجليزية مع ابو ندى,للاشتراك ف الدورة الشاملة اضغط على رابط الواتس 👇,0,False,https://www.tiktok.com/@abu.nada1/video/7072414491920616705?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072414491920616705&source=h5_m,8673006,899,9575,27701,219132,7072414476544379650,7072414476544379650,72,7072414476544379650,original sound - abu.nada1,الانجليزية مع ابو ندى,6.988246781009528e+18,الانجليزية مع ابو ندى,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072414473608334082.mp3,,False,False,,,,,[],0,0,Kuwait,#انجليزي #انقلش #لغة_انجليزية #الانجليزية #اللغة_الانجليزية #انجليزي_امريكي #تعلم_اللغة_الإنجليزية,0,0,0,0,0,0,0,0,0,0
7,PH,7097949576606256411,1652620169,hangkyot!!! 🥺🤍 #donbelle #donnypangilinan #bellemariano #donbellempire #fypシ,6995398777737675778,hermosa,,0,False,https://www.tiktok.com/@editsfordb/video/7097949576606256411?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097949576606256411&source=h5_m,4870723,364,581,2596,310378,7072479175814187782,7072479175814187782,72,7072479175814187782,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",6.831674564565763e+18,Iconicfatma,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072479167769873157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d203808dc93f54480af65167e04b08e8.json,False,False,Myriam Fares,Goumi - Sped Up Version,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",[],0,0,Kuwait,#donbelle #donnypangilinan #bellemariano #donbellempire #fypシ,0,0,0,0,1,0,0,0,0,0
0,TR,7096486250978348289,1652279463, ,6607811716095475718,Çılgın Dondurmacı,"Çılgın Dondurmacı Mehmet Dinç

👇👇👇",0,False,https://www.tiktok.com/@cilgindondurmaci_/video/7096486250978348289?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096486250978348289&source=h5_m,39118314,20829,20662,74153,1376191,7096486247610600194,7096486247610600194,72,7096486247610600194,original sound - cilgindondurmaci_ (Contains music from: Kalbimsin انتى قلبى قلبى - Remix - Çılgın Dondurmacı),"Contains music from: ""Kalbimsin انتى قلبى قلبى - Remix""",6.607811716095476e+18,Çılgın Dondurmacı,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096486245563501314.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c397a172253f36426da722ba98439f4c.json,False,False,Çılgın Dondurmacı,Kalbimsin انتى قلبى قلبى - Remix,original sound - cilgindondurmaci_ (Contains music from: Kalbimsin انتى قلبى قلبى - Remix - Çılgın Dondurmacı),"Contains music from: ""Kalbimsin انتى قلبى قلبى - Remix""",[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
1,SG,7099005838668385537,1652866100,#funny #fyp,7043258119342916609,Everything hub :),Everything hub 😂🤣🥲,0,False,https://www.tiktok.com/@matthewkoh03/video/7099005838668385537?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099005838668385537&source=h5_m,1405032,1064,2663,9643,91495,7099005830170823425,7099005830170823425,24,7099005830170823425,original sound - matthewkoh03,Everything hub :),7.043258119342917e+18,Everything hub :),False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099005828161702657.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a3f7caf61d8917fb981cee2602bb02a8.json,False,False,,,,,[],0,0,Kuwait,#funny #fyp,0,0,1,1,0,0,0,0,0,0
2,AE,7103403809954696449,1653890084,#fy #weightlosscheck,7099667179252270086,Webb,Lipid-iowering enzyme coffee👇👇👇,0,False,https://www.tiktok.com/@dr.webb6/video/7103403809954696449?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103403809954696449&source=h5_m,477360,74,1040,2526,6148,7070105828002401030,7070105828002401030,72,7070105828002401030,original sound - weemadshazy13 (Contains music from: Unstoppable Next - Sunashi Rom),"Contains music from: ""Unstoppable Next""",6.787058272253232e+18,Wee Mad Shazy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070105826198817541.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8f8152c07c14fd6a8dd8eed8941a436e.json,False,False,Sunashi Rom,Unstoppable Next,original sound - weemadshazy13 (Contains music from: Unstoppable Next - Sunashi Rom),"Contains music from: ""Unstoppable Next""",[],0,0,Kuwait,#fy #weightlosscheck,0,0,0,0,0,0,0,0,0,0
3,IT,7094281230782352646,1651766067, ,6816995522239693830,🔆,🇮🇹🍕,0,False,https://www.tiktok.com/@licclisa/video/7094281230782352646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094281230782352646&source=h5_m,47280498,19817,40466,10691,955924,7094281226827156229,7094281226827156229,72,7094281226827156229,original sound - licclisa,🔆,6.816995522239694e+18,🔆,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094281212528823045.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b1489670fbca04ffa09c621edf7f73e0.json,False,False,,,,,[],0,0,Kuwait,,0,0,0,0,0,0,0,0,0,0
