,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_duet,hash_ethiopia,hash_ethiopian_tik_tok,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_habesha,hash_habeshatiktok,hash_viral
0,ET,7103071679299063046,1653812755,#ethiopian_tik_tok🇪🇹🇪🇹🇪🇹🇪🇹 #viral #fyp #foryou #ኢትዮጵያ_ለዘለዓለም_ትኑር🇪🇹🇪🇹🇪🇹,6823365299103548422,Dani_the_1st😎,"በዛሬ ውስጥ ነገን  እያየሁት ነው እንጂ እኮ ዛሬ አይነፋም😔😥 
የነገ ስንቅ ዛሬ ባይሆን ኖሮ ዛሬን ባስቀየምኩት 👊👊🤕",0,False,https://www.tiktok.com/@dan_the_2nd/video/7103071679299063046?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103071679299063046&source=h5_m,97754,144,244,496,5902,7103071662567852806,7103071662567852806,72,7103071662567852806,original sound - dan_the_2nd,Dani_the_1st😎,6.823365299103548e+18,Dani_the_1st😎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103071678430808837.mp3,,False,False,[],0,0,,,,,Ethiopia,#ethiopian_tik_tok🇪🇹🇪🇹🇪🇹🇪🇹 #viral #fyp #foryou #ኢትዮጵያ_ለዘለዓለም_ትኑር🇪🇹🇪🇹🇪🇹,0,0,1,1,0,1,0,0,0,1
1,ET,7101956348937587973,1653553073,#viral #fyp#fypシ#foryou #ethiopian_tik_tok #ቫይራል#dute#tiktok@comedianeshetu0@eyobalemu @anan4jc @anan4jc,6980344504113513478,Jesus is Lord👑,"ቃልህን እወደዋለሁ 🙏
   20k🏃‍♂️🏃‍♂️
plz follow",0,False,https://www.tiktok.com/@anan4jc/video/7101956348937587973?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101956348937587973&source=h5_m,211391,157,509,5255,20574,7101956317253782278,7101956317253782278,72,7101956317253782278,original sound - anan4jc,Jesus is Lord👑,6.980344504113513e+18,Jesus is Lord👑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101956308493241094.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/96538873c1b45770386e97a8f74077e4.json,False,False,[],0,0,,,,,Ethiopia,#viral #fyp#fypシ#foryou #ethiopian_tik_tok #ቫይራል#dute#tiktok@comedianeshetu0@eyobalemu,0,0,1,1,0,1,1,0,0,1
2,ET,7102884324688563461,1653769131,#maryam #orthodox #protestant  #sofonias #Gospel,6856988899043230725,Nazarene_Christian,God always be with US!,0,False,https://www.tiktok.com/@worship_zone1/video/7102884324688563461?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102884324688563461&source=h5_m,125827,984,334,2519,4986,7102884396377639685,7102884396377639685,72,7102884396377639685,original sound - worship_zone1,Nazarene_Christian,6.856988899043231e+18,Nazarene_Christian,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102884376052091654.mp3,,False,False,[],0,0,,,,,Ethiopia,#maryam #orthodox #protestant #sofonias #Gospel,0,0,0,0,0,0,0,0,0,0
3,ET,7102872911538572550,1653766473,#duet with @mintesinot16 #saronayelign #ኦርቶዶክቤተክርስቲያንፅንታለዘአለምትኑር,6771362200936514565,Saron Ayelign ❣️,Actress and model and ceo of /shiro/ ሺሮ😂🥰 self confident queen 👸 💙🧿No ዘረኝነት,0,False,https://www.tiktok.com/@saronayelign2/video/7102872911538572550?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102872911538572550&source=h5_m,255604,0,480,122,20826,7102059742097722117,7102059742097722117,24,7102059742097722117,original sound - mintesinot16,Mintesinot Mintesino,6.791444647061423e+18,Mintesinot Mintesino,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102059758189873925.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e99ab35809a3a6deb73e7bcf0d02a55d.json,False,False,[],0,0,,,,,Ethiopia,#duet #saronayelign #ኦርቶዶክቤተክርስቲያንፅንታለዘአለምትኑር,1,0,0,0,0,0,0,0,0,0
4,ET,7103439920689171717,1653898497,Leza Award shame on u @endalk zenebe my man,6811927682168439814,Rach,"CEO of giiriigiiirii hin umiin 
oromummaan bar midhagummaa dha
lets go For 100k",0,False,https://www.tiktok.com/@rachetesfaye/video/7103439920689171717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103439920689171717&source=h5_m,207680,1143,638,2650,17941,7103439904905890566,7103439904905890566,72,7103439904905890566,original sound - rachetesfaye,Rach,6.81192768216844e+18,Rach,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103439905790905094.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
5,ET,7102531851104816389,1653687064,#mikabu12 #ethiopian #foryourpage,7079805418755425286,mikabu,"EHFAR
follow and like 🙏🙏🙏❤❤❤",0,False,https://www.tiktok.com/@mikabu12/video/7102531851104816389?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102531851104816389&source=h5_m,375156,149,37,645,13052,7102531835233897221,7102531835233897221,72,7102531835233897221,original sound - mikabu12,mikabu,7.079805418755425e+18,mikabu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102531823149927174.mp3,,False,False,[],0,0,,,,,Ethiopia,#mikabu12 #ethiopian #foryourpage,0,0,0,0,0,0,0,0,0,0
6,FI,7084882934326398214,1649577856,😂,6816641213090661381,Tomas,TORPA,0,False,https://www.tiktok.com/@torpamatos/video/7084882934326398214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084882934326398214&source=h5_m,2650949,569,1424,22236,108175,7082807007984093958,7082807007984093958,72,7082807007984093958,original sound - davaaa.born.again,Davide,6.596210585632784e+18,Davide,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082806998923791109.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c1730d1b4efb02bba3917c49c792c8ca.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
7,ET,7102819320052468998,1653753996,#viral #fyp,6818149363665568774,MODEL RODAS MIZAN,"♦️NEW ACCOUNT ♦️
ፀባይካ ናይ ክብርካ ጠበቃ እዩ✌️",0,False,https://www.tiktok.com/@rodimizan2/video/7102819320052468998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102819320052468998&source=h5_m,452075,167,91,1476,25242,7096442704837675782,7096442704837675782,72,7096442704837675782,original sound - semarina3,semehal hailu,6.883133459109758e+18,semehal hailu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096442686919559942.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7f04846e380df6df899acda6531e6ae0.json,False,False,[],0,0,,,,,Ethiopia,#viral #fyp,0,0,0,0,0,1,0,0,0,1
0,ET,7098222701382208773,1652683766,#bole #fly #flypシ #finfine #lencho #oromo #oromotiktok❤️💚❤️ #lencho,7008492102716523526,netjtube,,0,False,https://www.tiktok.com/@netjtube/video/7098222701382208773?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098222701382208773&source=h5_m,485225,550,453,3562,34240,7098222641593142021,7098222641593142021,72,7098222641593142021,original sound - netjtube,netjtube,7.008492102716524e+18,netjtube,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098222659451816710.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/efe7ea22fd10c2040373c701d5b37edd.json,False,False,[],0,0,,,,,Ethiopia,#bole #fly #flypシ #finfine #lencho #oromo #oromotiktok❤️💚❤️ #lencho,0,0,0,0,0,0,0,0,0,0
1,ET,7097215520482594054,1652449260,Nails by @Sophus ManiPedi  #Mahider #mahider_k #የእናንተገፅ,6816302649844712454,mahi keb,"CEO of ምንአስ👅በህ ነው
I am that ቅመም 🥵🌶you need in your life ❤️",0,False,https://www.tiktok.com/@mahider_k/video/7097215520482594054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097215520482594054&source=h5_m,511146,697,278,1276,35327,7097215503667612421,7097215503667612421,72,7097215503667612421,original sound - mahider_k,mahi keb,6.816302649844712e+18,mahi keb,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097215492414393094.mp3,,False,False,[],0,0,,,,,Ethiopia,#Mahider #mahider_k #የእናንተገፅ,0,0,0,0,0,0,0,0,0,0
2,US,7099652297478704390,1653016617,#protestantmezmur #gosplechristiantiktok #pente #protestant #viral #amharicmezmur,6779885209426232325,Habesha Girl,I’m Christian,0,False,https://www.tiktok.com/@jerrygezu/video/7099652297478704390?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099652297478704390&source=h5_m,665139,383,442,188,43128,7093526660590455558,7093526660590455558,72,7093526660590455558,original sound - zemaplayer,zemaplayer,6.912268440671077e+18,zemaplayer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093526656895273733.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3726a81f2386e87d6a519ef629a0eb19.json,False,False,[],0,0,,,,,Ethiopia,#protestantmezmur #gosplechristiantiktok #pente #protestant #viral #amharicmezmur,0,0,0,0,0,0,0,0,0,1
3,ET,7099714287806975238,1653031053,#ኢትዮጵያ_ለዘለዓለም_ትኑር🇪🇹🇪🇹🇪🇹 #ኢትዮጵያንቲክቶክ #ኢትዮጵያ,6909794208937690117,Ja Ja,"Jaጃ Entertainment
🔴CEO of ''ያዙኝ ልቀቁኝ!''
🔴Promotion
  (ማስታወቂያ እንሰራለን!)",0,False,https://www.tiktok.com/@jaja9011jaja/video/7099714287806975238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099714287806975238&source=h5_m,856962,1303,242,2512,49424,7099714241103547141,7099714241103547141,72,7099714241103547141,original sound - jaja9011jaja,Ja Ja,6.90979420893769e+18,Ja Ja,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099714209416186630.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3a39d1198219dfce75bd6d7cb745458a.json,False,False,[],0,0,,,,,Ethiopia,#ኢትዮጵያ_ለዘለዓለም_ትኑር🇪🇹🇪🇹🇪🇹 #ኢትዮጵያንቲክቶክ #ኢትዮጵያ,0,0,0,0,0,0,0,0,0,0
4,AE,7102391786177400065,1653654452,#oromotiktok #haccaluhundeessaa💔💔😭😭 #haccaluhundeessaa #justforhacaaluuhundeessaa,6715817370173228038,zamuu,zjefyu,0,False,https://www.tiktok.com/@hawii6161/video/7102391786177400065?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102391786177400065&source=h5_m,301650,458,115,777,13689,7060310899227101186,7060310899227101186,10033,7060310899227101186,Xiqaat Guddaa Caale,Hachalu Hundessa,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9d79531105da478f8b6f99f92c2e7f20,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ab00a86da34d426db1039c949027dd69,False,True,[],0,0,,,,,Ethiopia,#oromotiktok #haccaluhundeessaa💔💔😭😭 #haccaluhundeessaa #justforhacaaluuhundeessaa,0,0,0,0,0,0,0,0,0,0
5,ET,7097627862995455238,1652545265,#ethiopian_tik_tok#legeta#ethiopianchristian#ethiopianprotestant#mezmur#christarmytv#eyuchufa#pyfツ#foryou,7015522767488484353,Prophet eyu chufa,''ከክብር ወደ ክብር እንለወጣለን'',0,False,https://www.tiktok.com/@christarmytv/video/7097627862995455238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097627862995455238&source=h5_m,69549,244,136,860,5274,7097627867244186373,7097627867244186373,72,7097627867244186373,original sound - christarmytv,Prophet eyu chufa,7.015522767488484e+18,Prophet eyu chufa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097627861850327813.mp3,,False,False,[],0,0,,,,,Ethiopia,#ethiopian_tik_tok#legeta#ethiopianchristian#ethiopianprotestant#mezmur#christarmytv#eyuchufa#pyfツ#foryou,0,0,1,1,0,0,0,0,0,0
6,ET,7093479552881577222,1651579413,#እዮባውያን 🙌,6931680517008917509,Na Ti,P R O U D   T O   B E   B L A C K  !🙌,0,False,https://www.tiktok.com/@n.a.t.i..2.3/video/7093479552881577222?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093479552881577222&source=h5_m,413618,272,920,16846,33787,7093479541208861446,7093479541208861446,72,7093479541208861446,original sound - n.a.t.i..2.3 (Contains music from: Endatefash - Eyob Mekonen),"Contains music from: ""Endatefash""",6.931680517008918e+18,Na Ti,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093479510087174918.mp3,,False,False,[],0,0,Eyob Mekonen,Endatefash,original sound - n.a.t.i..2.3 (Contains music from: Endatefash - Eyob Mekonen),"Contains music from: ""Endatefash""",Ethiopia,#እዮባውያን,0,0,0,0,0,0,0,0,0,0
7,ET,7100104027869826310,1653121795, ,7100085271174628357,user1971323935566,,0,False,https://www.tiktok.com/@haymie0716/video/7100104027869826310?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100104027869826310&source=h5_m,311893,64,152,4043,20413,7100104003278703366,7100104003278703366,72,7100104003278703366,original sound - haymie0716,user1971323935566,7.100085271174628e+18,user1971323935566,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100104019502189318.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e6c961c95683c990265aad86a9b5c6fe.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
0,ET,7102114077656321285,1653589794, ,6651281889100005382,Adam Sandler is bae,"God first ✝️
Roasting y’all second 🙂",0,False,https://m.tiktok.com/v/7102114077656321285.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102114077656321285&source=h5_m,402156,1895,430,97,36013,7102114068454001414,7102114068454001414,72,7102114068454001414,original sound - sambusachick,Adam Sandler is bae,6.651281889100005e+18,Adam Sandler is bae,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102114082735606533.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fc6658857c346de7c8673946b69cb529.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
1,ET,7102337358552648966,1653641783,አረ ሆዱን ምን ላርገዉ😳#neba4kilo #4kilo_entertainment #ethiopia #fyp,6971073371879179269,nebyuzerihunn,በእግሬ መሄድ አዘወትራለሁ! የታክሲ ከሌለኝ🤣,0,False,https://m.tiktok.com/v/7102337358552648966.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102337358552648966&source=h5_m,203906,82,124,23,19686,7102337289119976197,7102337289119976197,72,7102337289119976197,original sound - neba4kiloo,nebyuzerihunn,6.971073371879179e+18,nebyuzerihunn,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102337349484612358.mp3,,False,False,[],0,0,,,,,Ethiopia,#neba4kilo #4kilo_entertainment #ethiopia #fyp,0,1,0,0,0,1,0,0,0,0
2,US,7099168943943732523,1652904075,#duet with @goonatv ቻዎ የጌታ ሰዌ🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️😛,6677304561105830918,Tedo,"🇪🇹Movie Actor ,producer,Show host,entrepreneur 
 promo @teddy.etalem@gmail.com",0,False,https://m.tiktok.com/v/7099168943943732523.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099168943943732523&source=h5_m,1093313,6256,4992,348,47834,7099065726350297902,7099065726350297902,72,7099065726350297902,original sound - goonatv,GOONATV,6.660146130485723e+18,GOONATV,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099065806356515630.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c7f0faa3fd520dc0fd7a7de47ee83c57.json,False,False,[],0,0,,,,,Ethiopia,#duet,1,0,0,0,0,0,0,0,0,0
3,ET,7088253477813619974,1650362623,Dorm convos>>>😂😂😂 #foryouethiopia #habeshatiktokers #habeshatiktok #fypethiopia #missleyu,6698389134765261829,,"I'll be your crazy friend, Follow me💃🏽
🇪🇹🇾🇪
22
⬇️YouTube⬇️",0,False,https://m.tiktok.com/v/7088253477813619974.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088253477813619974&source=h5_m,512910,336,157,491,22530,7088253428668910342,7088253428668910342,72,7088253428668910342,original sound - missleyu,,6.698389134765262e+18,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088253465624955654.mp3,,False,False,[],0,0,,,,,Ethiopia,#foryouethiopia #habeshatiktokers #habeshatiktok #fypethiopia #missleyu,0,0,0,0,0,0,0,0,1,0
4,ET,7102395904593792262,1653655412,"New music coming soon “ንገሪኝ"" @natantiruneh  #rosiye #ethiopian_tik_tok #erhiopian #viral #habesha #fypシ #4u #የእናንተገፅ @bujustar",6645509388705824774,rosiye__,"🇪🇹
የእማዬ ልጅ (ቡጥቃ)🙋‍♀️

ሚጥሚጣ🌶 lover😆
Subscribe my YouTube channel👇🏼👇🏼",0,False,https://m.tiktok.com/v/7102395904593792262.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102395904593792262&source=h5_m,985603,967,218,3833,50696,7099438486647671558,7099438486647671558,72,7099438486647671558,original sound - bujustar,bujustar,6.897606449284531e+18,bujustar,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099438477623724806.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f283cc3c49f0666011a3cac1eedea14f.json,False,False,[],0,0,,,,,Ethiopia,#rosiye #ethiopian_tik_tok #erhiopian #viral #habesha #fypシ #4u #የእናንተገፅ,0,0,1,0,0,0,1,1,0,1
5,ET,7088312493822496006,1650376362,#foryoupage,6843821099315741702,Hawi🎀,,0,False,https://m.tiktok.com/v/7088312493822496006.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088312493822496006&source=h5_m,513477,294,138,902,40355,7074268141479594757,7074268141479594757,72,7074268141479594757,original sound - the_chechebsa_boy,Naol,7.050494438855362e+18,Naol,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074268161566083846.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7ec0bc0220571a1133d97ce0eabce0b7.json,False,False,[],0,0,,,,,Ethiopia,#foryoupage,0,0,0,0,1,0,0,0,0,0
6,US,7099397285770988842,1652957243,#duet with @gugutpodcast ጉንዳን 😂 #abelbirhanu,6796338638294483974,Abel Birhanu Baye,I'm eventuate of my self.,0,False,https://m.tiktok.com/v/7099397285770988842.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099397285770988842&source=h5_m,505822,491,1016,1241,15775,7099133352577616645,7099133352577616645,72,7099133352577616645,original sound - gugutpodcast,Gugut Podcast,6.833628910673479e+18,Gugut Podcast,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099133363000314629.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5f99ba2adb595214b2a8f255ff3634ba.json,False,False,[],0,0,,,,,Ethiopia,#duet #abelbirhanu,1,0,0,0,0,0,0,0,0,0
7,ET,7101967067108101381,1653555568,10ኛ የለዛ ሽልማት ትይንት,7014839410685608966,ሁሉ ሚዲያ,,0,False,https://m.tiktok.com/v/7101967067108101381.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101967067108101381&source=h5_m,562356,198,320,144,23525,7101967045251926789,7101967045251926789,72,7101967045251926789,original sound - hulu_media_24,ሁሉ ሚዲያ,7.014839410685609e+18,ሁሉ ሚዲያ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101967014922685189.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
0,ET,7084960631098477830,1649595945,Winglu winglu madam 😂😂😂😂 #tileyalesh #viral #for #foryou #habesha #habeshatiktok,6783190569008940037,Mekita_ta_ta,You tube👉🏻👉🏻 https://youtube.com/channel/UCLBGkYTxNgVJUF9fBoRUqHA,0,False,https://www.tiktok.com/@mekita_ta_ta/video/7084960631098477830?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084960631098477830&source=h5_m,406856,635,401,1081,38718,7084960607560092421,7084960607560092421,72,7084960607560092421,original sound - mekita_ta_ta,Mekita_ta_ta,6.78319056900894e+18,Mekita_ta_ta,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084960621711641350.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/90b429f441aab57771c828b80b7aad2b.json,False,False,[],0,0,,,,,Ethiopia,#tileyalesh #viral #for #foryou #habesha #habeshatiktok,0,0,0,1,0,0,0,1,1,1
1,ET,7092026108324891910,1651241006,#jaratesfaye,6843268932587291654,Jaratesfaye,"When the time is right ,the lord will make it happen
Isaiah 60:22",0,False,https://www.tiktok.com/@jara.tesfaye1/video/7092026108324891910?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092026108324891910&source=h5_m,618337,1058,382,4700,52618,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Ethiopia,#jaratesfaye,0,0,0,0,0,0,0,0,0,0
2,US,7094690003707563306,1651861241,#duet with @orthodox_gold,6813470108453192710,Yonas M Muluneh,,0,False,https://www.tiktok.com/@yonimagna_1/video/7094690003707563306?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094690003707563306&source=h5_m,1346166,2386,1649,13492,47420,7094142534896585474,7094142534896585474,72,7094142534896585474,original sound - orthodox_gold,Orthodox enate,6.862241917141501e+18,Orthodox enate,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094142529716751106.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/33ee54b3f7d7c97146c1722eca291dd7.json,False,False,[],0,0,,,,,Ethiopia,#duet,1,0,0,0,0,0,0,0,0,0
3,ZA,7089145734641061126,1650570366,#protestantmezmur ፡ birthday gift thankyou pro henok,6744037310332290053,Ephrem Alemu,16 በእርሱ የሚያምን ሁሉ የዘላለም ሕይወት እንዲኖረው እንጂ እንዳይጠፋ እግዚአብሔር አንድያ ልጁን እስኪሰጥ ድረስ ዓለሙን እን,0,False,https://www.tiktok.com/@ephremalemu3/video/7089145734641061126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089145734641061126&source=h5_m,1542460,1582,1036,484,60983,7079463783789562630,7079463783789562630,72,7079463783789562630,original sound - bellisima_segenyifter (Contains music from: Ene Alisegidim - Ephrem Alemu),"Contains music from: ""Ene Alisegidim""",6.914316442197034e+18,Segen Yifter,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079463804920204037.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9636f818ccd2eaad40e6628e37197e3a.json,False,False,[],0,0,Ephrem Alemu,Ene Alisegidim,original sound - bellisima_segenyifter (Contains music from: Ene Alisegidim - Ephrem Alemu),"Contains music from: ""Ene Alisegidim""",Ethiopia,#protestantmezmur,0,0,0,0,0,0,0,0,0,0
4,AE,7102955206450679041,1653785637, ,7037495696866345985,መሠረት,ተመስገን አምላኬ,0,False,https://www.tiktok.com/@nooraalroosh521/video/7102955206450679041?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102955206450679041&source=h5_m,218278,869,109,1122,7360,7102955183419804418,7102955183419804418,72,7102955183419804418,original sound - nooraalroosh521,መሠረት,7.037495696866346e+18,መሠረት,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102955110002985730.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
5,ET,7093133616326200581,1651498867,Reply to @the_goat2333  እግዚአብሄር አይተወንም   #fyp #homeworship #legeta,6820051052752208901,@ruhamaalemayehu,home of worship,0,False,https://www.tiktok.com/@ruhamaalemayehu/video/7093133616326200581?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093133616326200581&source=h5_m,85277,218,84,924,11524,7093133589298481925,7093133589298481925,72,7093133589298481925,original sound - ruhamaalemayehu,@ruhamaalemayehu,6.820051052752209e+18,@ruhamaalemayehu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093133605538417413.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/df2fc65ed7b15600a9a8aad71b781f7c.json,False,False,[],0,0,,,,,Ethiopia,#fyp #homeworship #legeta,0,0,0,0,0,1,0,0,0,0
6,ET,7100964322297384198,1653322096,Work on your selves please!,6854216086214001669,Merhawit Zeray,🏋🏻‍♀️🏋🏻‍♀️🏋🏻‍♀️🏋🏻‍♀️,0,False,https://www.tiktok.com/@merhaiwitzeray0/video/7100964322297384198?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100964322297384198&source=h5_m,638183,451,176,869,20684,7100964315188054789,7100964315188054789,72,7100964315188054789,original sound - merhaiwitzeray0,Merhawit Zeray,6.854216086214002e+18,Merhawit Zeray,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100964318031710982.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
