,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_israel,hash_trending,hash_viral,hash_פוריו,hash_اكسبلور,hash_فلسطين
1,BE,7099137379000274181,1652896727,Best of favorite dance moves w/ @thlsd_ @Majé,6917739013130699781,Ed People,"Can you teach me your favorite dance move? 💃
Support the project 👇",0,False,https://www.tiktok.com/@edpeople/video/7099137379000274181?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099137379000274181&source=h5_m,10743548,7061,8230,11481,2170257,7099137370708118277,7099137370708118277,72,7099137370708118277,original sound - edpeople (Contains music from: En Barranquilla Me Quedo - Joe Arroyo),"Contains music from: ""En Barranquilla Me Quedo""",6.9177390131307e+18,Ed People,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099137396503005957.mp3,,False,False,Joe Arroyo,En Barranquilla Me Quedo,original sound - edpeople (Contains music from: En Barranquilla Me Quedo - Joe Arroyo),"Contains music from: ""En Barranquilla Me Quedo""",[],0,0,Israel,,0,0,0,0,0,0,0,0,0,0
2,AU,7100076744048266498,1653115440,don’t you dare 👿 #fyp,6812773845183939589,follow 😛,"follow my instagram to grow 👆👆
business: macenclay@gmail.com",0,False,https://www.tiktok.com/@macenclay/video/7100076744048266498?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100076744048266498&source=h5_m,5218017,3160,278,132,273147,6995838988280007430,6995838988280007430,72,6995838988280007430,Finally my boyfriend (Contains music from: 6 Jandi Kro Yaar - Lil.Man),"Contains music from: ""6 Jandi Kro Yaar""",6.879025014520251e+18,𝖘𝖍𝖊𝖊𝖘𝖍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6995839241586625286.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ff78bf187c4005456f8117ebeb67dc60.json,False,False,Lil.Man,6 Jandi Kro Yaar,Finally my boyfriend (Contains music from: 6 Jandi Kro Yaar - Lil.Man),"Contains music from: ""6 Jandi Kro Yaar""",[],0,0,Israel,#fyp,0,0,1,0,0,0,0,0,0,0
3,US,7102243085349883182,1653619830,Drive anything but a car to school day! #bhs #burns,6789412204040258565,lindsayrmays,,0,False,https://www.tiktok.com/@lindsayrmays/video/7102243085349883182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102243085349883182&source=h5_m,17825375,31103,75675,44,3408368,6433566413058738946,6433566413058738946,22,6433566413058738946,Good Day ,Nappy Roots,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f673334e7fe7491f921336c9eaf4434f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/964295a01437470cb0717f5b0d0ee416,False,True,,,,,[],0,0,Israel,#bhs #burns,0,0,0,0,0,0,0,0,0,0
4,US,7102506254106430766,1653681103,"She bet me $25,000 to find the cheap water. How’d I do ? 💧👀 #fyp #misterlewis #guessthedrink #luxury #comedy #bet",260228019653492736,Mister Lewis,💰LUXURY LIFESTYLE CONNOISSEUR 💎,0,False,https://www.tiktok.com/@mister.lewis/video/7102506254106430766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102506254106430766&source=h5_m,2360564,1158,825,486,118129,7102506239372053294,7102506239372053294,72,7102506239372053294,original sound - mister.lewis,Mister Lewis,2.6022801965349274e+17,Mister Lewis,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102506287836957486.mp3,,False,False,,,,,[],0,0,Israel,#fyp #misterlewis #guessthedrink #luxury #comedy #bet,0,0,1,0,0,0,0,0,0,0
0,IL,7076467949523062018,1647618589,Me as a girlfriend 😗🤌🏼 @Bene #acting #gf,162683527011057664,G R I N C E S S,📍Israel 🇮🇱,0,False,https://m.tiktok.com/v/7076467949523062018.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076467949523062018&source=h5_m,9452569,4489,10641,28729,1262290,6988168092991884038,6988168092991884038,72,6988168092991884038,original sound - huggiefromjuggie (Contains music from: Bad Blood - Taylor Swift),"Contains music from: ""Bad Blood""",6.900938647148135e+18,Who knows 🫶🏻,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6988168164014181126.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9a9d4279022063e2d43d4737ec26bc7e.json,False,False,Taylor Swift,Bad Blood,original sound - huggiefromjuggie (Contains music from: Bad Blood - Taylor Swift),"Contains music from: ""Bad Blood""",[],0,0,Israel,#acting #gf,0,0,0,0,0,0,0,0,0,0
1,FR,7102875366338989318,1653767045, ,16854750,Carlotta,"Heu                      


Charlotte@babylone-agency.com",0,False,https://m.tiktok.com/v/7102875366338989318.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102875366338989318&source=h5_m,307500,139,328,21,25043,7068720082436098822,7068720082436098822,72,7068720082436098822,people_using_sound_agree_with_vid,❤Habesh,6.954427230827382e+18,❤Habesh,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7068720070335351557.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ab9cbb30b6537a32507d89fea752618f.json,False,False,,,,,[],0,0,Israel,,0,0,0,0,0,0,0,0,0,0
2,IL,7095029698933181698,1651940333,@lizzo can't stop dancing it!! (dc: @jaedenraegomez) @Koral Cohen #dance #fyp,6535140629633045504,YUVAL BITON⭐️,"🌵👀🔥
Dance
*19*",0,False,https://m.tiktok.com/v/7095029698933181698.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095029698933181698&source=h5_m,632004,580,264,407,79568,7086201843973621762,7086201843973621762,10033,7086201843973621762,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Israel,#dance #fyp,0,0,1,0,0,0,0,0,0,0
3,CO,7082396054703967494,1648998833,I like it #fyp #usa_tiktok #usa #tiktokusa,7041217230055277574,Ale Quinn,I want to know people and make some friends✨,0,False,https://m.tiktok.com/v/7082396054703967494.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082396054703967494&source=h5_m,968654,513,743,838,54337,7028637934702119682,7028637934702119682,72,7028637934702119682,original sound - lenanizh,LENA NIZH 🍭,6.890181417687467e+18,LENA NIZH 🍭,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7028637853882059521.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b3954d52309dc84a23f83614e041f958.json,False,False,,,,,[],0,0,Israel,#fyp #usa_tiktok #usa #tiktokusa,0,0,1,0,0,0,0,0,0,0
4,IL,7075809772116790529,1647465345, ,7046519640076715014,The Real G,"אהבת חינם מנצחת הכל
כן, אני זמר, כן אני גם מצחיק.
בואו לאינסטגרם !",0,False,https://m.tiktok.com/v/7075809772116790529.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075809772116790529&source=h5_m,1143732,3122,10254,1552,108607,7075809756707244802,7075809756707244802,72,7075809756707244802,original sound - _____yonatan______,The Real G,7.046519640076715e+18,The Real G,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7075809753246845697.mp3,,False,False,,,,,[],0,0,Israel,,0,0,0,0,0,0,0,0,0,0
5,IL,7103248963431615746,1653854029,מה את לאונרדו דיקפריו יא מצחיקה חחחח#אףקרנף #foryou #fakebody⚠️ #fypシ #דף #אשכנזי #ציור,6878656068194386946,עמית דר,מלך הורדים האדומים,0,False,https://m.tiktok.com/v/7103248963431615746.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103248963431615746&source=h5_m,145832,914,593,1,15835,7103248943039007489,7103248943039007489,72,7103248943039007489,original sound - amitdruka,עמית דר,6.878656068194387e+18,עמית דר,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103248912458844930.mp3,,False,False,,,,,[],0,0,Israel,#אףקרנף #foryou #fakebody⚠️ #fypシ #דף #אשכנזי #ציור,1,0,0,1,0,0,0,0,0,0
6,IL,7102162987397483777,1653601182,🥰🥰 #foryou #fyp #דניאל_יונה⚽️🕊,6687943746280260614,Yasmin,"19
🇮🇱",0,False,https://m.tiktok.com/v/7102162987397483777.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102162987397483777&source=h5_m,296259,1046,155,1,24124,7072737937846291202,7072737937846291202,72,7072737937846291202,original sound - ckhvxdfuknm (Contains music from: Minimal Sex - Bertuss),"Contains music from: ""Minimal Sex""",7.019765862854084e+18,"ура,победа",False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072737914077088513.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/82c84f9ab2f23f5197f4054ace1ec3c1.json,False,False,Bertuss,Minimal Sex,original sound - ckhvxdfuknm (Contains music from: Minimal Sex - Bertuss),"Contains music from: ""Minimal Sex""",[],0,0,Israel,#foryou #fyp #דניאל_יונה⚽️🕊,1,0,1,0,0,0,0,0,0,0
7,IL,7102521390288407810,1653684628,#דניאליונה #פוריו #fyp,7040084824795759622,nadavne,,0,False,https://m.tiktok.com/v/7102521390288407810.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102521390288407810&source=h5_m,215290,478,433,132,16898,7102067668462734081,7102067668462734081,72,7102067668462734081,original sound - cowgirls___1,cowgirls___1.,6.987874841085052e+18,cowgirls___1.,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102085202003954434.mp3,,False,False,,,,,[],0,0,Israel,#דניאליונה #פוריו #fyp,0,0,1,0,0,0,0,1,0,0
0,IL,7103145303620046081,1653829895,اواواو 😂😂,6598245312475725829,Qusai Tubailah,"القدسُ أولاً ، ثُم الأقربون قلباً، ثُم أصدقاء المواقف ،
 ثُم القدسُ من جديد 🖤",0,False,https://www.tiktok.com/@qusai_tubailah/video/7103145303620046081?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103145303620046081&source=h5_m,950860,1706,1090,2766,34187,7103145300126780161,7103145300126780161,72,7103145300126780161,original sound - qusai_tubailah,Qusai Tubailah,6.598245312475726e+18,Qusai Tubailah,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103145289032174337.mp3,,False,False,,,,,[],0,0,Israel,,0,0,0,0,0,0,0,0,0,0
1,IL,7102696362759687425,1653725367,עזבו את הצלוליטיס והסנטר הכפול וכ״ו תראו את התלתלים 👩🏻‍🦱😍 #fyp #foryou,105580148728512512,Yasmin Izhakie,"אני בן אדם פשוט❤️
31|🇮🇱
תאהבו את עצמכם
205k?
🙏🏻❤️",0,False,https://www.tiktok.com/@yasminizhakie/video/7102696362759687425?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102696362759687425&source=h5_m,128241,212,281,4,3034,7100078911207344902,7100078911207344902,72,7100078911207344902,original sound - louisrodriguez12 (Contains music from: Dum Tek Tek Dum Tek Viral Song - Exclusive Music),"Contains music from: ""Dum Tek Tek Dum Tek Viral Song""",6.648690204834578e+18,LOUIS RODRIGUEZ✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100078928408840966.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30cb9643eaf7faf62efe29ec146edfb7.json,False,False,Exclusive Music,Dum Tek Tek Dum Tek Viral Song,original sound - louisrodriguez12 (Contains music from: Dum Tek Tek Dum Tek Viral Song - Exclusive Music),"Contains music from: ""Dum Tek Tek Dum Tek Viral Song""",[],0,0,Israel,#fyp #foryou,1,0,1,0,0,0,0,0,0,0
2,PL,7100936512472173829,1653315621,#bettercallsaul #BreakingBad #saulgoodman #hectorsalamanca #moviescene #moviescenes #cinema,6806708853000274949,Filmatic,"Your Daily Dose of Cinema 🎥
Featuring Content from the Best Movies & Series.",0,False,https://www.tiktok.com/@itsfilmatic/video/7100936512472173829?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100936512472173829&source=h5_m,10869149,1710,1205,4126,905860,7100936509724887813,7100936509724887813,72,7100936509724887813,original sound - itsfilmatic,Filmatic,6.806708853000275e+18,Filmatic,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100936523772234501.mp3,,False,False,,,,,[],0,0,Israel,#bettercallsaul #BreakingBad #saulgoodman #hectorsalamanca #moviescene #moviescenes #cinema,0,0,0,0,0,0,0,0,0,0
3,IL,7086450694353390849,1649942877,#باب #العامود الشيه ابو انس و زيد و رمضان كريم,6676448568494326790,Ahmad Abu Khalaf,,0,False,https://www.tiktok.com/@ahmadabukhalaf57/video/7086450694353390849?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086450694353390849&source=h5_m,924723,423,2401,106,27715,7086450702955842306,7086450702955842306,72,7086450702955842306,original sound - ahmadabukhalaf57,Ahmad Abu Khalaf,6.676448568494327e+18,Ahmad Abu Khalaf,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7086450656512445186.mp3,,False,False,,,,,[],0,0,Israel,#باب #العامود,0,0,0,0,0,0,0,0,0,0
4,IL,7093119697121496321,1651495626,صلاة كل جندي إسرائيلي مسلم: اللهم إحمِ موطني🇮🇱 وباركها ..#عيد_فطر_سعيد,6919018693536187394,افيخاي أدرعي,"التفاعل الراقي هو مفتاح التلاقي
حساب رسمي للمتحدث باسم جيش الدفاع الإسرائيلي🇮🇱",0,False,https://www.tiktok.com/@avichay.adraee/video/7093119697121496321?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093119697121496321&source=h5_m,864659,1841,404,807,8961,7093119683494202113,7093119683494202113,72,7093119683494202113,original sound - avichay.adraee (Contains music from: موطني - جي فاير),"Contains music from: ""موطني""",6.919018693536187e+18,افيخاي أدرعي,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7093119648857705218.mp3,,False,False,جي فاير,موطني,original sound - avichay.adraee (Contains music from: موطني - جي فاير),"Contains music from: ""موطني""",[],0,0,Israel,#عيد_فطر_سعيد,0,0,0,0,0,0,0,0,0,0
5,US,7100580086553824555,1653232633, ,6637992129237336065,Huh,K,0,False,https://www.tiktok.com/@maayanotkoolkids24/video/7100580086553824555?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100580086553824555&source=h5_m,66946,133,11,15,5270,7089570059206773550,7089570059206773550,72,7089570059206773550,EVIL TWINNN (Contains music from: Detroit Flow - Liberia Sig),"Contains music from: ""Detroit Flow""",6.9086059735321e+18,D🐐,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7089568456416299822.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/27b98a00d2b09d03c76c2d55e2e82770.json,False,False,Liberia Sig,Detroit Flow,EVIL TWINNN (Contains music from: Detroit Flow - Liberia Sig),"Contains music from: ""Detroit Flow""",[],0,0,Israel,,0,0,0,0,0,0,0,0,0,0
